STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,Season,Month,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT14,WT14_ATTRIBUTES
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/1/52,Fall,November,,,,,0,",,0,",0,",,0,",0,",,0,",19.4,",,0",2.2,",,0",16.1,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/2/52,Fall,November,,,,,0,",,0,",0,",,0,",0,",,0,",21.1,",,0",0.6,",,0",17.2,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/3/52,Fall,November,,,,,1,",,0,",0,",,0,",0,",,0,",21.1,",,0",4.4,",,0",4.4,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/4/52,Fall,November,,,,,1.5,",,0,",0,",,0,",0,",,0,",8.3,",,0",-2.8,",,0",6.1,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/5/52,Fall,November,,,,,0,",,0,",0,",,0,",0,",,0,",16.7,",,0",-3.9,",,0",11.1,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/6/52,Fall,November,,,,,0,",,0,",0,",,0,",0,",,0,",15,",,0",5,",,0",9.4,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/7/52,Fall,November,,,,,0,",,0,",0,",,0,",0,",,0,",15.6,",,0",1.1,",,0",2.8,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/8/52,Fall,November,,,,,0,",,0,",0,",,0,",0,",,0,",11.1,",,0",-4.4,",,0",8.9,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/9/52,Fall,November,,,,,0,",,0,",0,",,0,",0,",,0,",17.8,",,0",-1.7,",,0",14.4,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/10/52,Fall,November,,,,,8.6,",,0,",0,",,0,",0,",,0,",15.6,",,0",6.1,",,0",,,,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/11/52,Fall,November,,,,,6.6,",,0,",0,",,0,",0,",,0,",7.2,",,0",3.3,",,0",3.9,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/12/52,Fall,November,,,,,0,",,0,",0,",,0,",0,",,0,",12.2,",,0",0.6,",,0",7.2,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/13/52,Fall,November,,,,,0,",,0,",0,",,0,",0,",,0,",16.1,",,0",-4.4,",,0",10.6,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/14/52,Fall,November,,,,,0,",,0,",0,",,0,",0,",,0,",15.6,",,0",-2.2,",,0",11.1,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/15/52,Fall,November,,,,,0,",,0,",0,",,0,",0,",,0,",17.8,",,0",7.8,",,0",13.3,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/16/52,Fall,November,,,,,0,",,0,",0,",,0,",0,",,0,",20.6,",,0",2.8,",,0",15.6,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/17/52,Fall,November,,,,,0,",,0,",0,",,0,",0,",,0,",20.6,",,0",3.3,",,0",15.6,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/18/52,Fall,November,,,,,0,",,0,",0,",,0,",0,",,0,",16.1,",,0",7.2,",,0",10.6,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/19/52,Fall,November,,,,,9.1,",,0,",0,",,0,",0,",,0,",12.8,",,0",8.3,",,0",11.7,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/20/52,Fall,November,,,,,26.7,",,0,",0,",,0,",0,",,0,",12.8,",,0",7.2,",,0",7.8,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/21/52,Fall,November,,,,,21.1,",,0,",0,",,0,",0,",,0,",12.8,",,0",2.2,",,0",5.6,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/22/52,Fall,November,,,,,5.8,",,0,",0,"T,,0,",0,",,0,",6.1,",,0",0,",,0",3.3,",,0,",,,,,,,1,",,0",,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/23/52,Fall,November,,,,,0,",,0,",0,",,0,",0,",,0,",11.7,",,0",0.6,",,0",9.4,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/24/52,Fall,November,,,,,0,",,0,",0,",,0,",0,",,0,",10,",,0",-1.7,",,0",8.3,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/25/52,Fall,November,,,,,0,",,0,",0,",,0,",0,",,0,",10,",,0",3.9,",,0",8.9,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/26/52,Fall,November,,,,,2.5,",,0,",0,",,0,",0,",,0,",15,",,0",7.2,",,0",12.8,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/27/52,Fall,November,,,,,0,",,0,",0,",,0,",0,",,0,",12.8,",,0",-4.4,",,0",-0.6,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/28/52,Fall,November,,,,,0,",,0,",0,",,0,",0,",,0,",2.2,",,0",-7.2,",,0",1.1,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/29/52,Fall,November,,,,,5.6,",,0,",51,",,0,",,,1.1,",,0",-3.9,",,0",-1.7,",,0,",,,,,,,,,,,,,,,,,,,,
