,year,totalprecip,
1,1/1/50,178.2,
2,1/1/51,162.2,
3,1/1/52,229.1,
4,1/1/53,268.5,
5,1/1/54,242.4,
6,1/1/55,190.7,
7,1/1/56,224.3,
8,1/1/58,246.6,
9,1/1/59,159.9,
10,1/1/60,213,
11,1/1/64,244.2,
12,1/1/66,225.4,
13,1/1/67,180.2,
14,1/1/69,253.5,
15,1/1/71,207.3,
16,1/1/74,239.8,
17,1/1/75,278.6,
18,1/1/76,206.1,Chosen year for precip treatment
19,1/1/78,254.8,
20,1/1/79,278.1,
21,1/1/81,152.1,
22,1/1/83,238.7,
23,1/1/84,216.5,
24,1/1/85,162.8,
25,1/1/86,198.7,
26,1/1/87,204.9,
27,1/1/90,271.6,
