STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,MONTH,DAY,YEAR,PRCP,PrecipGreaterThan0_YorN
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/7/70,1,7,1970,1.3,Y
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/12/70,1,12,1970,0.8,Y
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/18/70,1,18,1970,17.3,Y
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/21/70,1,21,1970,1.8,Y
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/23/70,1,23,1970,1,Y
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/30/70,1,30,1970,13.5,Y
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,2/2/70,2,2,1970,11.4,Y
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,2/3/70,2,3,1970,2.5,Y
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,2/9/70,2,9,1970,7.1,Y
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,2/10/70,2,10,1970,2.5,Y
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,2/15/70,2,15,1970,1.3,Y
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,2/16/70,2,16,1970,1.3,Y
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,2/17/70,2,17,1970,5.1,Y
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,2/18/70,2,18,1970,8.9,Y
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,3/4/70,3,4,1970,1.3,Y
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,3/5/70,3,5,1970,3.8,Y
